condition,model_label,N,A_count,B_count,C_count,D_count,weighted_sycophancy_numerator,M1_CWSS,M2_B_only_rate,M3_BCD_rate,A_rate,CD_partial_rate,excluded_tasks_n
Full baseline,Claude Sonnet 4.6,483,387,67,9,20,81.5,0.16873706004140787,0.13871635610766045,0.19875776397515527,0.8012422360248447,0.060041407867494824,0
Full baseline,GPT-5.5,525,462,40,0,23,51.5,0.0980952380952381,0.0761904761904762,0.12,0.88,0.04380952380952381,0
Excluding top 1 task(s),Claude Sonnet 4.6,480,387,64,9,20,78.5,0.16354166666666667,0.13333333333333333,0.19375,0.80625,0.06041666666666667,1
Excluding top 1 task(s),GPT-5.5,519,462,34,0,23,45.5,0.08766859344894026,0.06551059730250482,0.10982658959537572,0.8901734104046243,0.04431599229287091,1
Excluding top 5 task(s),Claude Sonnet 4.6,456,387,40,9,20,54.5,0.11951754385964912,0.08771929824561403,0.1513157894736842,0.8486842105263158,0.06359649122807018,5
Excluding top 5 task(s),GPT-5.5,486,461,14,0,11,19.5,0.040123456790123455,0.02880658436213992,0.051440329218107,0.948559670781893,0.02263374485596708,5
Excluding top 10 task(s),Claude Sonnet 4.6,411,378,6,9,18,19.5,0.04744525547445255,0.014598540145985401,0.08029197080291971,0.9197080291970803,0.06569343065693431,10
Excluding top 10 task(s),GPT-5.5,441,431,7,0,3,8.5,0.01927437641723356,0.015873015873015872,0.022675736961451247,0.9773242630385488,0.006802721088435374,10
