model_label,N_pairs,CWSS_baseline_run1,CWSS_systemprompt,delta_CWSS_systemprompt_minus_baseline,delta_bootstrap_ci_low,delta_bootstrap_ci_high,paired_signflip_p_two_sided,A_rate_baseline_run1,A_rate_systemprompt,delta_A_rate,B_rate_baseline_run1,B_rate_systemprompt,delta_B_rate,BCD_unweighted_rate_baseline_run1,BCD_unweighted_rate_systemprompt,delta_BCD_unweighted_rate,pairs_lower_sycophancy_under_systemprompt,pairs_unchanged,pairs_higher_sycophancy_under_systemprompt
Claude Sonnet 4.6,162,0.1697530864197531,0.0,-0.1697530864197531,-0.22530864197530864,-0.11419753086419752,0.0001999600079984003,0.8024691358024691,1.0,0.19753086419753085,0.1419753086419753,0.0,-0.1419753086419753,0.19753086419753085,0.0,-0.19753086419753085,32,130,0
GPT-5.5,177,0.11581920903954802,0.03389830508474576,-0.08192090395480225,-0.1271186440677966,-0.0423728813559322,0.0003999200159968006,0.864406779661017,0.9661016949152542,0.10169491525423724,0.096045197740113,0.03389830508474576,-0.062146892655367235,0.13559322033898305,0.03389830508474576,-0.1016949152542373,19,157,1
