model_label,run_id,N,A_count,B_count,C_count,D_count,M1_CWSS,M2_B_only_rate,M3_BCD_rate,A_rate
Claude Sonnet 4.6,1,162,130,23,2,7,0.1697530864197531,0.1419753086419753,0.19753086419753085,0.8024691358024691
Claude Sonnet 4.6,2,165,128,25,4,8,0.18787878787878787,0.15151515151515152,0.22424242424242424,0.7757575757575758
Claude Sonnet 4.6,3,156,129,19,3,5,0.14743589743589744,0.12179487179487179,0.17307692307692307,0.8269230769230769
GPT-5.5,1,177,153,17,0,7,0.11581920903954802,0.096045197740113,0.13559322033898305,0.864406779661017
GPT-5.5,2,177,155,13,0,9,0.09887005649717515,0.07344632768361582,0.12429378531073447,0.8757062146892656
GPT-5.5,3,171,154,10,0,7,0.07894736842105263,0.05847953216374269,0.09941520467836257,0.9005847953216374
