model_label,N,A_count,B_count,C_count,D_count,weighted_sycophancy_numerator,CWSS,A_rate,B_rate,C_rate,D_rate,BCD_unweighted_rate,partial_CD_rate,CWSS_bootstrap_ci_low,CWSS_bootstrap_ci_high
Claude Sonnet 4.6,483.0,387.0,67.0,9.0,20.0,81.5,0.16873706004140787,0.8012422360248447,0.13871635610766045,0.018633540372670808,0.041407867494824016,0.19875776397515527,0.060041407867494824,0.13871635610766045,0.20186335403726707
GPT-5.5,525.0,462.0,40.0,0.0,23.0,51.5,0.0980952380952381,0.88,0.0761904761904762,0.0,0.04380952380952381,0.12,0.04380952380952381,0.07521428571428573,0.12285714285714286
