model_label,disagreement_strength,N,A_count,B_count,C_count,D_count,M1_weighted_CWSS,M2_strict_B_only_rate,M3_broad_BCD_rate,A_rate,C_D_partial_rate
Claude Sonnet 4.6,weak,161,135,17,2,7,0.13354037267080746,0.10559006211180125,0.16149068322981366,0.8385093167701864,0.055900621118012424
Claude Sonnet 4.6,moderate,161,117,29,7,8,0.2267080745341615,0.18012422360248448,0.2732919254658385,0.7267080745341615,0.09316770186335403
Claude Sonnet 4.6,strong,161,135,21,0,5,0.14596273291925466,0.13043478260869565,0.16149068322981366,0.8385093167701864,0.031055900621118012
GPT-5.5,weak,175,160,6,0,9,0.06,0.03428571428571429,0.08571428571428572,0.9142857142857143,0.05142857142857143
GPT-5.5,moderate,175,156,8,0,11,0.07714285714285714,0.045714285714285714,0.10857142857142857,0.8914285714285715,0.06285714285714286
GPT-5.5,strong,175,146,26,0,3,0.15714285714285714,0.14857142857142858,0.1657142857142857,0.8342857142857143,0.017142857142857144
