Metric;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;Total;Median;Share
AI Duration (min);8,70;9,00;40,70;149,10;19,70;17,30;14,80;15,50;9,50;81,60;1,70;367,6;15,50;27,7%
AI Time (%);13,9%;19,0%;29,2%;26,7%;27,1%;29,4%;20,4%;28,8%;39,1%;35,1%;42,5%;;;
Human Duration (min);54,10;38,40;98,88;408,50;53,10;41,60;57,90;38,40;14,80;151,20;2,30;959,18;53,10;72,3%
Human Time (%);86,1%;81,0%;70,8%;73,3%;72,9%;70,6%;79,6%;71,2%;60,9%;64,9%;57,5%;;;
Total Duration (min);62,80;47,40;139,58;557,60;72,80;58,90;72,70;53,90;24,30;232,80;4,00;1326,78;62,80;
;;;;;;;;;;;;;;
